Dark spectrum
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1401079U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts]
 345.82;   18.000;   18.000;    0.000
 346.16;  102.000;  102.000;    0.000
 346.50;  -15.000;  -15.000;    0.000
 346.84;   86.000;   86.000;    0.000
 347.18;   20.000;   20.000;    0.000
 347.52;   68.000;   68.000;    0.000
 347.86;   -5.000;   -5.000;    0.000
 348.20;   40.000;   40.000;    0.000
 348.54;   35.000;   35.000;    0.000
 348.88;   73.000;   73.000;    0.000
 349.22;   92.000;   92.000;    0.000
 349.56;   61.000;   61.000;    0.000
 349.90;    6.000;    6.000;    0.000
 350.24;  -69.000;  -69.000;    0.000
 350.58;   45.000;   45.000;    0.000
 350.92;   61.000;   61.000;    0.000
 351.26;  119.000;  119.000;    0.000
 351.60;   58.000;   58.000;    0.000
 351.94;   38.000;   38.000;    0.000
 352.27;   76.000;   76.000;    0.000
 352.61;   67.000;   67.000;    0.000
 352.95;   17.000;   17.000;    0.000
 353.29;   73.000;   73.000;    0.000
 353.63;   20.000;   20.000;    0.000
 353.97;   28.000;   28.000;    0.000
 354.31;   63.000;   63.000;    0.000
 354.65;   75.000;   75.000;    0.000
 354.99;  158.000;  158.000;    0.000
 355.33;  100.000;  100.000;    0.000
 355.67;   -9.000;   -9.000;    0.000
 356.01;   34.000;   34.000;    0.000
 356.35;   33.000;   33.000;    0.000
 356.69;    1.000;    1.000;    0.000
 357.03;   89.000;   89.000;    0.000
 357.37;   14.000;   14.000;    0.000
 357.71;   40.000;   40.000;    0.000
 358.05;  -15.000;  -15.000;    0.000
 358.39;   68.000;   68.000;    0.000
 358.73;  -19.000;  -19.000;    0.000
 359.07;  132.000;  132.000;    0.000
 359.41;   34.000;   34.000;    0.000
 359.75;  136.000;  136.000;    0.000
 360.09;   20.000;   20.000;    0.000
 360.43;   28.000;   28.000;    0.000
 360.77;    4.000;    4.000;    0.000
 361.11;   40.000;   40.000;    0.000
 361.45;   76.000;   76.000;    0.000
 361.79;   73.000;   73.000;    0.000
 362.13;   62.000;   62.000;    0.000
 362.47;   77.000;   77.000;    0.000
 362.81;   46.000;   46.000;    0.000
 363.15;  143.000;  143.000;    0.000
 363.49;   33.000;   33.000;    0.000
 363.83;   26.000;   26.000;    0.000
 364.16;   87.000;   87.000;    0.000
 364.50;   12.000;   12.000;    0.000
 364.84;   90.000;   90.000;    0.000
 365.18;  -14.000;  -14.000;    0.000
 365.52;  201.000;  201.000;    0.000
 365.86;   73.000;   73.000;    0.000
 366.20;  120.000;  120.000;    0.000
 366.54;   66.000;   66.000;    0.000
 366.88;   55.000;   55.000;    0.000
 367.22;  -10.000;  -10.000;    0.000
 367.56;  113.000;  113.000;    0.000
 367.90;    1.000;    1.000;    0.000
 368.24;   33.000;   33.000;    0.000
 368.58;   95.000;   95.000;    0.000
 368.92;   57.000;   57.000;    0.000
 369.26;   74.000;   74.000;    0.000
 369.60;   99.000;   99.000;    0.000
 369.94;   14.000;   14.000;    0.000
 370.27;   30.000;   30.000;    0.000
 370.61;   66.000;   66.000;    0.000
 370.95;   17.000;   17.000;    0.000
 371.29;   71.000;   71.000;    0.000
 371.63; -111.000; -111.000;    0.000
 371.97;  118.000;  118.000;    0.000
 372.31;   73.000;   73.000;    0.000
 372.65;    6.000;    6.000;    0.000
 372.99;  104.000;  104.000;    0.000
 373.33;  140.000;  140.000;    0.000
 373.67;   -1.000;   -1.000;    0.000
 374.01;   32.000;   32.000;    0.000
 374.35;  -21.000;  -21.000;    0.000
 374.69;    5.000;    5.000;    0.000
 375.02;  -18.000;  -18.000;    0.000
 375.36;   85.000;   85.000;    0.000
 375.70;   30.000;   30.000;    0.000
 376.04;   61.000;   61.000;    0.000
 376.38;   21.000;   21.000;    0.000
 376.72;  -20.000;  -20.000;    0.000
 377.06;    1.000;    1.000;    0.000
 377.40;  -12.000;  -12.000;    0.000
 377.74;  121.000;  121.000;    0.000
 378.08;   82.000;   82.000;    0.000
 378.42;   66.000;   66.000;    0.000
 378.76;   34.000;   34.000;    0.000
 379.09;  -22.000;  -22.000;    0.000
 379.43;   64.000;   64.000;    0.000
 379.77;   31.000;   31.000;    0.000
 380.11;   72.000;   72.000;    0.000
 380.45;   51.000;   51.000;    0.000
 380.79;   10.000;   10.000;    0.000
 381.13;   24.000;   24.000;    0.000
 381.47;   23.000;   23.000;    0.000
 381.81;   62.000;   62.000;    0.000
 382.15;  117.000;  117.000;    0.000
 382.48;   47.000;   47.000;    0.000
 382.82;  -23.000;  -23.000;    0.000
 383.16;  194.000;  194.000;    0.000
 383.50;   76.000;   76.000;    0.000
 383.84;   29.000;   29.000;    0.000
 384.18;   69.000;   69.000;    0.000
 384.52;  245.000;  245.000;    0.000
 384.86;  154.000;  154.000;    0.000
 385.20;  320.000;  320.000;    0.000
 385.54;    8.000;    8.000;    0.000
 385.87;  143.000;  143.000;    0.000
 386.21;  204.000;  204.000;    0.000
 386.55;  229.000;  229.000;    0.000
 386.89;  161.000;  161.000;    0.000
 387.23;  128.000;  128.000;    0.000
 387.57;   25.000;   25.000;    0.000
 387.91;  142.000;  142.000;    0.000
 388.25;  102.000;  102.000;    0.000
 388.59;   45.000;   45.000;    0.000
 388.92;  211.000;  211.000;    0.000
 389.26;  149.000;  149.000;    0.000
 389.60;  198.000;  198.000;    0.000
 389.94;   25.000;   25.000;    0.000
 390.28;  168.000;  168.000;    0.000
 390.62;  142.000;  142.000;    0.000
 390.96;   56.000;   56.000;    0.000
 391.30;   85.000;   85.000;    0.000
 391.63;   12.000;   12.000;    0.000
 391.97;  104.000;  104.000;    0.000
 392.31;   20.000;   20.000;    0.000
 392.65;   88.000;   88.000;    0.000
 392.99;   82.000;   82.000;    0.000
 393.33;   56.000;   56.000;    0.000
 393.67;   43.000;   43.000;    0.000
 394.00; -112.000; -112.000;    0.000
 394.34;    5.000;    5.000;    0.000
 394.68;   17.000;   17.000;    0.000
 395.02;    3.000;    3.000;    0.000
 395.36;   14.000;   14.000;    0.000
 395.70;   37.000;   37.000;    0.000
 396.04;   53.000;   53.000;    0.000
 396.38;   42.000;   42.000;    0.000
 396.71;  142.000;  142.000;    0.000
 397.05;  176.000;  176.000;    0.000
